"","AMT","TIME","TFDS","DV"
"213",200,66,0,107.56205126
"214",200,67,1,265.25084198
"215",200,68,2,215.91188185
"216",200,69,3,173.03109541
"217",200,70,4,145.06716736
"218",200,71,5,124.33046762
"219",200,72,6,107.56941326
"220",200,0,0,0
"221",200,1,1,107.4391448
"222",200,2,2,61.89743084
"223",200,3,3,38.32962289
"224",200,4,4,26.07874768
"225",200,5,5,19.16546875
"226",200,6,0,14.99095474
"227",200,7,1,119.75209803
"228",200,8,2,72.38785463
"229",200,9,3,47.50441046
"230",200,10,4,34.24875076
"231",200,11,5,26.5287702
"232",200,12,0,21.67960384
"233",200,13,1,125.85877807
"234",200,14,2,77.98126426
"235",200,15,3,52.63821129
"236",200,16,4,38.96681872
"237",200,17,5,30.86831278
"238",200,18,0,25.67304007
"239",200,19,1,129.53489826
"240",200,20,2,81.36596796
"241",200,21,3,55.75499632
"242",200,22,4,41.83712145
"243",200,23,5,33.51175796
"244",200,24,0,28.10763412
"245",200,25,1,131.77718611
"246",200,26,2,83.43116521
"247",200,27,3,57.65710392
"248",200,28,4,43.5890272
"249",200,29,5,35.12532761
"250",200,30,0,29.59379399
"251",200,31,1,133.14599829
"252",200,32,2,84.69189647
"253",200,33,3,58.81828884
"254",200,34,4,44.65852619
"255",200,35,5,36.11038028
"256",200,36,0,30.50106822
"257",200,37,1,133.98163543
"258",200,38,2,85.46155292
"259",200,39,3,59.52717435
"260",200,40,4,45.31143916
"261",200,41,5,36.71174023
"262",200,42,0,31.05494569
"263",200,43,1,134.49177958
"264",200,44,2,85.93141686
"265",200,45,3,59.95993855
"266",200,46,4,45.71003295
"267",200,47,5,37.07886167
"268",200,48,0,31.39307978
"269",200,49,1,134.80321511
"270",200,50,2,86.21826192
"271",200,51,3,60.22413476
"272",200,52,4,45.95336863
"273",200,53,5,37.30298393
"274",200,54,0,31.59950569
"275",200,55,1,134.99334194
"276",200,56,2,86.39337663
"277",200,57,3,60.38542268
"278",200,58,4,46.1019215
"279",200,59,5,37.43980729
"280",200,60,0,31.72552569
"281",200,61,1,135.1094116
"282",200,62,2,86.50028159
"283",200,63,3,60.48388659
"284",200,64,4,46.19261086
"285",200,65,5,37.52333595
"286",200,66,0,31.80245906
"287",200,67,1,135.18027042
"288",200,68,2,86.56554551
"289",200,69,3,60.54399737
"290",200,70,4,46.24797538
"291",200,71,5,37.57432898
"292",200,72,6,31.84942575
"293",200,0,0,0
"294",200,1,1,129.96183188
"295",200,2,2,97.66683312
"296",200,3,3,70.34537991
"297",200,4,4,52.74507834
"298",200,5,5,40.93264169
"299",200,6,0,32.4767202
"300",200,7,1,156.05228968
"301",200,8,2,118.76313012
"302",200,9,3,87.45850622
"303",200,10,4,66.64867048
"304",200,11,5,52.2369398
"305",200,12,0,41.67081266
"306",200,13,1,163.53127592
"307",200,14,2,124.84739348
"308",200,15,3,92.4083052
"309",200,16,4,70.67559588
"310",200,17,5,55.51308032
"311",200,18,0,44.33615359
"312",200,19,1,165.69969691
"313",200,20,2,126.61154019
"314",200,21,3,93.84354977
"315",200,22,4,71.84325796
"316",200,23,5,56.46304721
"317",200,24,0,45.1090117
"318",200,25,1,166.32846584
"319",200,26,2,127.12308346
"320",200,27,3,94.25972256
"321",200,28,4,72.18184084
"322",200,29,5,56.73850578
"323",200,30,0,45.33311466
"324",200,31,1,166.51078777
"325",200,32,2,127.27141388
"326",200,33,3,94.38039873
"327",200,34,4,72.28001853
"328",200,35,5,56.81837954
"329",200,36,0,45.39809702
"330",200,37,1,166.56365502
"331",200,38,2,127.31442473
"332",200,39,3,94.41539078
"333",200,40,4,72.30848678
"334",200,41,5,56.84154026
"335",200,42,0,45.41693973
"336",200,43,1,166.57898475
"337",200,44,2,127.32689644
"338",200,45,3,94.4255373
"339",200,46,4,72.31674162
"340",200,47,5,56.84825609
"341",200,48,0,45.42240348
"342",200,49,1,166.58342986
"343",200,50,2,127.33051282
"344",200,51,3,94.42847945
"345",200,52,4,72.31913524
"346",200,53,5,56.85020346
"347",200,54,0,45.42398779
"348",200,55,1,166.5847188
"349",200,56,2,127.33156145
"350",200,57,3,94.42933258
"351",200,58,4,72.31982931
"352",200,59,5,56.85076813
"353",200,60,0,45.42444718
"354",200,61,1,166.58509254
"355",200,62,2,127.33186551
"356",200,63,3,94.42957996
"357",200,64,4,72.32003057
"358",200,65,5,56.85093187
"359",200,66,0,45.42458039
"360",200,67,1,166.58520092
"361",200,68,2,127.33195368
"362",200,69,3,94.42965169
"363",200,70,4,72.32008893
"364",200,71,5,56.85097934
"365",200,72,6,45.42461902
"366",200,0,0,0
"367",200,1,1,214.76794084
"368",200,2,2,149.47509823
"369",200,3,3,107.91644299
"370",200,4,4,85.9176971
"371",200,5,5,72.21817737
"372",200,6,0,62.3272976
"373",200,7,1,269.23133199
"374",200,8,2,197.34893875
"375",200,9,3,150.12153962
"376",200,10,4,123.18279386
"377",200,11,5,105.15019406
"378",200,12,0,91.44539102
"379",200,13,1,294.98584128
"380",200,14,2,220.13348771
"381",200,15,3,170.28168747
"382",200,16,4,141.02271615
"383",200,17,5,120.93809937
"384",200,18,0,105.4180457
"385",200,19,1,307.35242021
"386",200,20,2,231.07889126
"387",200,21,3,179.9694218
"388",200,22,4,149.59740834
"389",200,23,5,128.52770222
"390",200,24,0,112.13577587
"391",200,25,1,313.29846531
"392",200,26,2,236.34191547
"393",200,27,3,184.62789526
"394",200,28,4,153.72078171
"395",200,29,5,132.17744497
"396",200,30,0,115.36629446
"397",200,31,1,316.15791536
"398",200,32,2,238.87292039
"399",200,33,3,186.868182
"400",200,34,4,155.70374343
"401",200,35,5,133.93263897
"402",200,36,0,116.91988287
"403",200,37,1,317.53305519
"404",200,38,2,240.0901087
"405",200,39,3,187.94556149
"406",200,40,4,156.65737287
"407",200,41,5,134.77673256
"408",200,42,0,117.66702215
"409",200,43,1,318.19437652
"410",200,44,2,240.67546932
"411",200,45,3,188.46368641
"412",200,46,4,157.11598491
"413",200,47,5,135.1826675
"414",200,48,0,118.02633058
"415",200,49,1,318.51241406
"416",200,50,2,240.95697643
"417",200,51,3,188.71285904
"418",200,52,4,157.33653708
"419",200,53,5,135.3778866
"420",200,54,0,118.19912642
"421",200,55,1,318.66536222
"422",200,56,2,241.09235665
"423",200,57,3,188.83268923
"424",200,58,4,157.44260332
"425",200,59,5,135.47176986
"426",200,60,0,118.28222606
"427",200,61,1,318.73891687
"428",200,62,2,241.15746267
"429",200,63,3,188.89031703
"430",200,64,4,157.49361188
"431",200,65,5,135.51691947
"432",200,66,0,118.3221897
"433",200,67,1,318.77429021
"434",200,68,2,241.18877295
"435",200,69,3,188.91803095
"436",200,70,4,157.51814253
"437",200,71,5,135.53863248
"438",200,72,6,118.3414087
"439",200,0,0,0
"440",200,1,1,123.06660185
"441",200,2,2,78.01045334
"442",200,3,3,54.34016393
"443",200,4,4,41.33757846
"444",200,5,5,32.75368943
"445",200,6,0,26.408221
"446",200,7,1,144.51784339
"447",200,8,2,95.49290182
"448",200,9,3,68.61031753
"449",200,10,4,52.99481193
"450",200,11,5,42.28043783
"451",200,12,0,34.19569658
"452",200,13,1,150.88446262
"453",200,14,2,100.69833882
"454",200,15,3,72.8665719
"455",200,16,4,56.47507094
"456",200,17,5,45.12623538
"457",200,18,0,36.52272506
"458",200,19,1,152.78730442
"459",200,20,2,102.25432494
"460",200,21,3,74.138932
"461",200,22,4,57.51550644
"462",200,23,5,45.97702228
"463",200,24,0,37.21843264
"464",200,25,1,153.35620041
"465",200,26,2,102.71952433
"466",200,27,3,74.51933636
"467",200,28,4,57.82657196
"468",200,29,5,46.23138784
"469",200,30,0,37.42643331
"470",200,31,1,153.52628744
"471",200,32,2,102.85860849
"472",200,33,3,74.63306873
"473",200,34,4,57.9195736
"474",200,35,5,46.30743746
"475",200,36,0,37.48862088
"476",200,37,1,153.57713967
"477",200,38,2,102.90019155
"478",200,39,3,74.66707218
"479",200,40,4,57.94737902
"480",200,41,5,46.3301746
"481",200,42,0,37.50721357
"482",200,43,1,153.59234335
"483",200,44,2,102.91262396
"484",200,45,3,74.67723845
"485",200,46,4,57.95569222
"486",200,47,5,46.3369725
"487",200,48,0,37.51277237
"488",200,49,1,153.59688892
"489",200,50,2,102.91634097
"490",200,51,3,74.68027794
"491",200,52,4,57.95817768
"492",200,53,5,46.33900492
"493",200,54,0,37.51443433
"494",200,55,1,153.59824794
"495",200,56,2,102.91745228
"496",200,57,3,74.68118668
"497",200,58,4,57.95892078
"498",200,59,5,46.33961257
"499",200,60,0,37.51493122
"500",200,61,1,153.59865426
"501",200,62,2,102.91778453
"502",200,63,3,74.68145838
"503",200,64,4,57.95914295
"504",200,65,5,46.33979424
"505",200,66,0,37.51507978
"506",200,67,1,153.59877574
"507",200,68,2,102.91788387
